Gene	UniProt	Domain_Name	Start	End
ACOT11	ACO11	HotDog ACOT-type 2	216	329
ACOT11	ACO11	START	375	585
ACOT12	ACO12	HotDog ACOT-type 1	5	117
ACOT12	ACO12	HotDog ACOT-type 2	179	294
ACOT12	ACO12	START	340	549
ACOT9	ACOT9	HotDog ACOT-type 1	84	209
ACOT9	ACOT9	HotDog ACOT-type 2	289	401
NDUFAB1	ACPM	Carrier	77	152
ACR	ACRO	Peptidase S1	43	290
AASDH	ACSF4	Carrier	553	630
ACTN1	ACTN1	Calponin-homology (CH) 1	31	135
ACTN1	ACTN1	Calponin-homology (CH) 2	144	250
ACTN1	ACTN1	EF-hand 1	746	781
ACTN1	ACTN1	EF-hand 2	787	822
ACTN2	ACTN2	Calponin-homology (CH) 1	38	142
ACTN2	ACTN2	Calponin-homology (CH) 2	151	257
ACTN2	ACTN2	EF-hand 1	753	788
ACTN2	ACTN2	EF-hand 2	789	824
ACTN3	ACTN3	Calponin-homology (CH) 1	45	149
ACTN3	ACTN3	Calponin-homology (CH) 2	158	264
ACTN3	ACTN3	EF-hand 1	760	795
ACTN3	ACTN3	EF-hand 2	796	831
ACTN4	ACTN4	Calponin-homology (CH) 1	50	154
ACTN4	ACTN4	Calponin-homology (CH) 2	163	269
ACTN4	ACTN4	EF-hand 1	765	800
ACTN4	ACTN4	EF-hand 2	806	841
ACVR1B	ACV1B	GS	177	206
ACVR1B	ACV1B	Protein kinase	207	497
ACVR1C	ACV1C	GS	165	194
ACVR1C	ACV1C	Protein kinase	195	485
ACVRL1	ACVL1	GS	172	201
ACVRL1	ACVL1	Protein kinase	202	492
ACVR1	ACVR1	GS	178	207
ACVR1	ACVR1	Protein kinase	208	502
ACYP1	ACYP1	Acylphosphatase-like	9	99
ACYP2	ACYP2	Acylphosphatase-like	9	99
ADAM10	ADA10	Peptidase M12B	220	456
ADAM10	ADA10	Disintegrin	457	551
ADAM11	ADA11	Peptidase M12B	239	438
ADAM11	ADA11	Disintegrin	444	531
ADAM11	ADA11	EGF-like	677	709
ADAM12	ADA12	Peptidase M12B	214	416
ADAM12	ADA12	Disintegrin	424	510
ADAM12	ADA12	EGF-like	656	688
ADAM15	ADA15	Peptidase M12B	213	414
ADAM15	ADA15	Disintegrin	421	508
ADAM15	ADA15	EGF-like	657	685
ADAM17	ADA17	Peptidase M12B	223	474
ADAM17	ADA17	Disintegrin	475	563
ADAM18	ADA18	Peptidase M12B	184	381
ADAM18	ADA18	Disintegrin	390	479
ADAM18	ADA18	EGF-like	620	654
ADAM19	ADA19	Peptidase M12B	210	408
ADAM19	ADA19	Disintegrin	416	502
ADAM19	ADA19	EGF-like	650	682
ADAM20	ADA20	Peptidase M12B	207	400
ADAM20	ADA20	Disintegrin	407	493
ADAM20	ADA20	EGF-like	635	663
ADAM21	ADA21	Peptidase M12B	208	398
ADAM21	ADA21	Disintegrin	406	492
ADAM21	ADA21	EGF-like	634	663
ADAM22	ADA22	Peptidase M12B	239	438
ADAM22	ADA22	Disintegrin	444	531
ADAM22	ADA22	EGF-like	675	712
ADAM23	ADA23	Peptidase M12B	299	496
ADAM23	ADA23	Disintegrin	502	588
ADAM23	ADA23	EGF-like	732	769
ADAM28	ADA28	Peptidase M12B	204	399
ADAM28	ADA28	Disintegrin	407	493
ADAM28	ADA28	EGF-like	625	657
ADAM29	ADA29	Peptidase M12B	198	390
ADAM29	ADA29	Disintegrin	397	483
ADAM29	ADA29	EGF-like	625	654
ADAM30	ADA30	Peptidase M12B	203	393
ADAM30	ADA30	Disintegrin	399	485
ADAM30	ADA30	EGF-like	629	663
ADAM32	ADA32	Peptidase M12B	186	383
ADAM32	ADA32	Disintegrin	391	479
ADAM32	ADA32	EGF-like	622	654
ADAM33	ADA33	Peptidase M12B	210	409
ADAM33	ADA33	Disintegrin	417	503
ADAM33	ADA33	EGF-like	649	681
ADAD1	ADAD1	DRBM	96	164
ADAD1	ADAD1	A to I editase	249	574
ADAD2	ADAD2	DRBM	115	181
ADAD2	ADAD2	A to I editase	261	582
ADAM2	ADAM2	Peptidase M12B	178	375
ADAM2	ADAM2	Disintegrin	384	473
ADAM2	ADAM2	EGF-like	612	645
ADAM5	ADAM5	Disintegrin	111	199
ADAM5	ADAM5	EGF-like	351	385
ADAM7	ADAM7	Peptidase M12B	199	394
ADAM7	ADAM7	Disintegrin	402	488
ADAM8	ADAM8	Peptidase M12B	200	400
ADAM8	ADAM8	Disintegrin	408	494
ADAM8	ADAM8	EGF-like	609	641
ADAM9	ADAM9	Peptidase M12B	212	406
ADAM9	ADAM9	Disintegrin	414	501
ADAM9	ADAM9	EGF-like	644	698
ADAP1	ADAP1	Arf-GAP	7	126
ADAP1	ADAP1	PH 1	129	230
ADAP1	ADAP1	PH 2	252	356
ADAP2	ADAP2	Arf-GAP	9	131
ADAP2	ADAP2	PH 1	132	233
ADAP2	ADAP2	PH 2	255	361
AGPS	ADAS	FAD-binding PCMH-type	202	384
ADAT1	ADAT1	A to I editase	63	501
ADAT2	ADAT2	CMP/dCMP-type deaminase	20	145
ADAT3	ADAT3	CMP/dCMP-type deaminase	171	336
ADCK1	ADCK1	Protein kinase	155	467
ADCK2	ADCK2	Protein kinase	200	618
ADCK5	ADCK5	Protein kinase	179	419
ADCY5	ADCY5	Guanylate cyclase 1	469	596
ADCY5	ADCY5	Guanylate cyclase 2	1071	1210
ADCY7	ADCY7	Guanylate cyclase 1	279	406
ADCY7	ADCY7	Guanylate cyclase 2	879	1023
ADCY9	ADCY9	Guanylate cyclase 1	394	521
ADCY9	ADCY9	Guanylate cyclase 2	1058	1198
ADCY10	ADCYA	Guanylate cyclase 1	42	179
ADCY10	ADCYA	Guanylate cyclase 2	293	418
ADAMDEC1	ADEC1	Peptidase M12B	218	412
ADAMDEC1	ADEC1	Disintegrin	420	470
ADGB	ADGB	Calpain catalytic	70	411
ADGB	ADGB	Globin; C-terminal part	763	890
ADGB	ADGB	IQ	906	935
ADGB	ADGB	Globin; N-terminal part	936	968
C1QTNF12	ADIPL	C1q	147	302
ADIPOQ	ADIPO	Collagen-like	42	107
ADIPOQ	ADIPO	C1q	108	244
ADPGK	ADPGK	ADPK	52	497
ADRM1	ADRM1	Pru	18	131
ADRM1	ADRM1	DEUBAD	277	391
FDX1	ADX	2Fe-2S ferredoxin-type	67	171
AEBP1	AEBP1	F5/8 type C	383	540
AEBP1	AEBP1	Peptidase M14	563	904
MAMDC4	AEGP	LDL-receptor class A 1; truncated	26	53
MAMDC4	AEGP	MAM 1	64	222
MAMDC4	AEGP	LDL-receptor class A 2	228	266
MAMDC4	AEGP	MAM 2	269	425
MAMDC4	AEGP	LDL-receptor class A 3	456	491
MAMDC4	AEGP	MAM 3	491	644
MAMDC4	AEGP	MAM 4	654	809
MAMDC4	AEGP	MAM 5	811	969
MAMDC4	AEGP	MAM 6	971	1138
AEN	AEN	Exonuclease	110	266
AFAP1L1	AF1L1	PH 1	220	316
AFAP1L1	AF1L1	PH 2	418	512
AFAP1L2	AF1L2	PH 1	175	271
AFAP1L2	AF1L2	PH 2	353	447
MLLT3	AF9	YEATS	1	138
AFDN	AFAD	Ras-associating 1	39	133
AFDN	AFAD	Ras-associating 2	246	348
AFDN	AFAD	FHA	426	492
AFDN	AFAD	Dilute	668	908
AFDN	AFAD	PDZ	1007	1093
AFM	AFAM	Albumin 1	22	210
AFM	AFAM	Albumin 2	211	403
AFM	AFAM	Albumin 3	404	599
AFAP1	AFAP1	PH 1	153	249
AFAP1	AFAP1	PH 2	347	441
AGAP11	AGA11	PH	121	307
AGAP11	AGA11	Arf-GAP	328	448
AGAP1	AGAP1	GLD	67	241
AGAP1	AGAP1	PH	346	588
AGAP1	AGAP1	Arf-GAP	609	729
AGAP2	AGAP2	GLD	402	578
AGAP2	AGAP2	PH	676	910
AGAP2	AGAP2	Arf-GAP	931	1051
AGAP3	AGAP3	GLD	87	261
AGAP3	AGAP3	PH	367	605
AGAP3	AGAP3	Arf-GAP	626	746
AGAP4	AGAP4	PH	259	420
AGAP4	AGAP4	Arf-GAP	441	561
AGAP5	AGAP5	PH	282	443
AGAP5	AGAP5	Arf-GAP	464	584
AGAP6	AGAP6	PH	259	420
AGAP6	AGAP6	Arf-GAP	441	561
AGAP7P	AGAP7	PH	259	420
AGAP7P	AGAP7	Arf-GAP	441	561
AGAP9	AGAP9	PH	327	488
AGAP9	AGAP9	Arf-GAP	509	629
AGFG1	AGFG1	Arf-GAP	11	135
AGFG2	AGFG2	Arf-GAP	27	153
AGGF1	AGGF1	FHA	434	487
AGGF1	AGGF1	G-patch	619	665
AGK	AGK	DAGKc	58	199
AGO1	AGO1	PAZ	227	346
AGO1	AGO1	Piwi	515	816
AGO2	AGO2	PAZ	229	348
AGO2	AGO2	Piwi	517	818
AGO3	AGO3	PAZ	230	349
AGO3	AGO3	Piwi	518	819
AGO4	AGO4	PAZ	219	338
AGO4	AGO4	Piwi	509	820
ADGRA2	AGRA2	LRRCT	190	240
ADGRA2	AGRA2	Ig-like	247	344
ADGRA2	AGRA2	GAIN-B	594	759
ADGRA3	AGRA3	LRRCT	187	237
ADGRA3	AGRA3	Ig-like	242	340
ADGRA3	AGRA3	GAIN-B	583	750
ADGRB1	AGRB1	TSP type-1 1	261	315
ADGRB1	AGRB1	TSP type-1 2	354	407
ADGRB1	AGRB1	TSP type-1 3	409	462
ADGRB1	AGRB1	TSP type-1 4	467	520
ADGRB1	AGRB1	TSP type-1 5	522	575
ADGRB1	AGRB1	GAIN-B	760	939
ADGRB2	AGRB2	TSP type-1 1	309	362
ADGRB2	AGRB2	TSP type-1 2	364	417
ADGRB2	AGRB2	TSP type-1 3	419	472
ADGRB2	AGRB2	TSP type-1 4	475	528
ADGRB2	AGRB2	GAIN-B	757	924
ADGRB3	AGRB3	CUB	30	159
ADGRB3	AGRB3	TSP type-1 1	291	343
ADGRB3	AGRB3	TSP type-1 2	345	398
ADGRB3	AGRB3	TSP type-1 3	400	453
ADGRB3	AGRB3	TSP type-1 4	455	508
ADGRB3	AGRB3	GAIN-B	693	869
ADGRD1	AGRD1	Pentraxin (PTX)	79	276
ADGRD1	AGRD1	GAIN-B	371	557
ADGRD2	AGRD2	Pentraxin (PTX)	116	325
ADGRD2	AGRD2	GAIN-B	489	649
ADGRE1	AGRE1	EGF-like 1	31	79
ADGRE1	AGRE1	EGF-like 2; calcium-binding	80	131
ADGRE1	AGRE1	EGF-like 3; calcium-binding	132	171
ADGRE1	AGRE1	EGF-like 4; calcium-binding	172	220
ADGRE1	AGRE1	EGF-like 5; calcium-binding	221	267
ADGRE1	AGRE1	EGF-like 6; calcium-binding	268	316
ADGRE1	AGRE1	GAIN-B	431	597
ADGRE2	AGRE2	EGF-like 1	25	66
ADGRE2	AGRE2	EGF-like 2; calcium-binding	67	118
ADGRE2	AGRE2	EGF-like 3; calcium-binding	119	162
ADGRE2	AGRE2	EGF-like 4; calcium-binding	163	211
ADGRE2	AGRE2	EGF-like 5; calcium-binding	212	260
ADGRE2	AGRE2	GAIN-B	354	530
ADGRE3	AGRE3	EGF-like 1	24	66
ADGRE3	AGRE3	EGF-like 2; calcium-binding	67	118
ADGRE3	AGRE3	GAIN-B	183	351
ADGRE4P	AGRE4	EGF-like 1	15	53
ADGRE4P	AGRE4	EGF-like 2; calcium-binding	54	104
ADGRE4P	AGRE4	GAIN-B	134	186
ADGRE5	AGRE5	EGF-like 1	22	63
ADGRE5	AGRE5	EGF-like 2; calcium-binding	64	115
ADGRE5	AGRE5	EGF-like 3; calcium-binding	116	159
ADGRE5	AGRE5	EGF-like 4; calcium-binding	160	208
ADGRE5	AGRE5	EGF-like 5; calcium-binding	209	257
ADGRE5	AGRE5	GAIN-B	349	543
ADGRF1	AGRF1	SEA	148	256
ADGRF1	AGRF1	GAIN-B	437	579
ADGRF2P	AGRF2	GAIN-B	293	442
ADGRF3	AGRF3	GAIN-B	599	765
ADGRF4	AGRF4	GAIN-B	249	397
ADGRF5	AGRF5	SEA	166	273
ADGRF5	AGRF5	Ig-like 1	267	368
ADGRF5	AGRF5	Ig-like 2	369	466
ADGRF5	AGRF5	Ig-like 3	471	561
ADGRF5	AGRF5	GAIN-B	842	1003
ADGRG1	AGRG1	GAIN-B	224	395
ADGRG2	AGRG2	GAIN-B	462	619
ADGRG3	AGRG3	GAIN-B	107	262
ADGRG4	AGRG4	Pentraxin (PTX)	29	228
ADGRG4	AGRG4	GAIN-B	2578	2734
ADGRG5	AGRG5	GAIN-B	78	239
ADGRG6	AGRG6	CUB	41	149
ADGRG6	AGRG6	Pentraxin (PTX)	154	356
ADGRG6	AGRG6	GAIN-B	670	853
ADGRG7	AGRG7	GAIN-B	275	428
AGRN	AGRIN	NtA	31	157
AGRN	AGRIN	Kazal-like 1	191	244
AGRN	AGRIN	Kazal-like 2	264	319
AGRN	AGRIN	Kazal-like 3	337	391
AGRN	AGRIN	Kazal-like 4	408	463
AGRN	AGRIN	Kazal-like 5	484	536
AGRN	AGRIN	Kazal-like 6	540	601
AGRN	AGRIN	Kazal-like 7	607	666
AGRN	AGRIN	Kazal-like 8	699	752
AGRN	AGRIN	Laminin EGF-like 1	793	846
AGRN	AGRIN	Laminin EGF-like 2	847	893
AGRN	AGRIN	Kazal-like 9	917	971
AGRN	AGRIN	SEA	1130	1252
AGRN	AGRIN	EGF-like 1	1329	1367
AGRN	AGRIN	Laminin G-like 1	1372	1548
AGRN	AGRIN	EGF-like 2	1549	1586
AGRN	AGRIN	EGF-like 3	1588	1625
AGRN	AGRIN	Laminin G-like 2	1635	1822
AGRN	AGRIN	EGF-like 4	1818	1857
AGRN	AGRIN	Laminin G-like 3	1868	2065
ADGRL1	AGRL1	SUEL-type lectin	40	129
ADGRL1	AGRL1	Olfactomedin-like	139	398
ADGRL1	AGRL1	GAIN-B	669	851
ADGRL2	AGRL2	SUEL-type lectin	41	130
ADGRL2	AGRL2	Olfactomedin-like	135	394
ADGRL2	AGRL2	GAIN-B	659	837
ADGRL3	AGRL3	SUEL-type lectin	35	124
ADGRL3	AGRL3	Olfactomedin-like	134	393
ADGRL3	AGRL3	GAIN-B	675	854
ADGRL4	AGRL4	EGF-like 1	20	57
ADGRL4	AGRL4	EGF-like 2; calcium-binding	58	108
ADGRL4	AGRL4	GAIN-B	244	419
AGRP	AGRP	Agouti	87	129
ADGRV1	AGRV1	Calx-beta 1	30	117
ADGRV1	AGRV1	Calx-beta 2	133	237
ADGRV1	AGRV1	Calx-beta 3	262	362
ADGRV1	AGRV1	Calx-beta 4	388	488
ADGRV1	AGRV1	Calx-beta 5	645	745
ADGRV1	AGRV1	Calx-beta 6	763	861
ADGRV1	AGRV1	Calx-beta 7	876	979
ADGRV1	AGRV1	Calx-beta 8	993	1093
ADGRV1	AGRV1	Calx-beta 9	1108	1208
ADGRV1	AGRV1	Calx-beta 10	1444	1544
ADGRV1	AGRV1	Calx-beta 11	1564	1665
ADGRV1	AGRV1	Calx-beta 12	1710	1809
ADGRV1	AGRV1	Calx-beta 13	1850	1952
ADGRV1	AGRV1	Calx-beta 14	1966	2079
ADGRV1	AGRV1	Calx-beta 15	2107	2206
ADGRV1	AGRV1	Calx-beta 16	2222	2324
ADGRV1	AGRV1	Calx-beta 17	2441	2541
ADGRV1	AGRV1	Calx-beta 18	2584	2676
ADGRV1	AGRV1	Calx-beta 19	2689	2789
ADGRV1	AGRV1	Calx-beta 20	2814	2925
ADGRV1	AGRV1	Calx-beta 21	2947	3048
ADGRV1	AGRV1	Calx-beta 22	3063	3172
ADGRV1	AGRV1	Calx-beta 23	3525	3625
ADGRV1	AGRV1	Calx-beta 24	3639	3739
ADGRV1	AGRV1	Calx-beta 25	3775	3875
ADGRV1	AGRV1	Calx-beta 26	3899	4006
ADGRV1	AGRV1	Calx-beta 27	4020	4123
ADGRV1	AGRV1	Calx-beta 28	4139	4239
ADGRV1	AGRV1	Calx-beta 29	4255	4354
ADGRV1	AGRV1	Calx-beta 30	4387	4489
ADGRV1	AGRV1	Calx-beta 31	4512	4612
ADGRV1	AGRV1	Calx-beta 32	4634	4734
ADGRV1	AGRV1	Calx-beta 33	4992	5095
ADGRV1	AGRV1	Calx-beta 34	5288	5332
ADGRV1	AGRV1	Calx-beta 35	5368	5468
ADGRV1	AGRV1	GAIN-B	5747	5903
AHI1	AHI1	SH3	1051	1111
AHNAK2	AHNK2	PDZ	112	193
AHNAK	AHNK	PDZ	9	90
AHRR	AHRR	bHLH	28	81
AHRR	AHRR	PAS	112	182
AHR	AHR	bHLH	27	80
AHR	AHR	PAS 1	111	181
AHR	AHR	PAS 2	275	342
AHR	AHR	PAC	348	386
AICDA	AICDA	CMP/dCMP-type deaminase	23	129
AIDA	AIDA	C2 Aida-type	157	304
AIF1L	AIF1L	EF-hand 1	47	82
AIF1L	AIF1L	EF-hand 2; degenerate	83	117
AIF1	AIF1	EF-hand 1	45	80
AIF1	AIF1	EF-hand 2; degenerate	81	115
AIFM3	AIFM3	Rieske	70	165
AIM2	AIM2	Pyrin	1	87
AIM2	AIM2	HIN-200	138	337
AIMP1	AIMP1	tRNA-binding	151	252
AIMP2	AIMP2	GST C-terminal	220	317
INA	AINX	IF rod	94	407
AIPL1	AIPL1	PPIase FKBP-type	53	145
AIP	AIP	PPIase FKBP-type	31	121
AIRE	AIRE	HSR	1	105
AIRE	AIRE	SAND	181	280
AJUBA	AJUBA	LIM zinc-binding 1	336	397
AJUBA	AJUBA	LIM zinc-binding 2	401	461
